strike,bid,ask,ltp,iv_nse,oi,volume,option_type,price,iv_model,moneyness,bs_price_atm,abs_error,delta,gamma,vega
25150.0,820.7,824.35,813.2,-,185,50,CALL,822.5250000000001,0.374291962780387,0.9767407539739561,637.7106234115781,184.81437658842196,0.9200618397930207,0.0003299835642263989,447.77065546879726
25200.0,770.75,772.95,771.35,-,826,287,CALL,771.85,0.35894811944848004,0.9786825844987552,592.3350628867956,179.51493711320438,0.9018058240246782,0.0003846081508081862,521.8933985083798
25250.0,721.9,724.15,722.25,-,227,131,CALL,723.025,0.3451921885688715,0.9806244150235544,547.9639652326696,175.0610347673304,0.8807127416585353,0.00044241218592528487,600.3304890156105
25300.0,671.8,674.0,669.45,-,986,519,CALL,672.9,0.32995683421428496,0.9825662455483535,504.7433888286396,168.1566111713604,0.8566590530662654,0.0005022867947634697,681.5772411326878
25350.0,622.35,624.55,623.1,-,383,323,CALL,623.45,0.3151017764410679,0.9845080760731526,462.8235447821098,160.62645521789022,0.8295843108699634,0.0005628931203530446,763.8168950936964
25400.0,572.65,574.6,560.05,-,1693,1047,CALL,573.625,0.29960723591552973,0.9864499065979517,422.35530077380827,151.26969922619173,0.7995013092648005,0.0006227056383078917,844.9793930886146
25450.0,523.95,525.75,524.8,-,422,726,CALL,524.85,0.284730570223121,0.9883917371227509,383.48626372842045,141.36373627157957,0.7665034977521192,0.0006800725892743382,922.8233829755421
25500.0,474.3,475.4,475.6,-,3764,8523,CALL,474.85,0.2683654600893564,0.99033356764755,346.3566038251374,128.4933961748626,0.7307688958289593,0.0007332905029926,995.0373435834675
25550.0,425.95,427.25,427.4,-,697,2159,CALL,426.6,0.2530935564961779,0.992275398172349,311.09481418648284,115.50518581351719,0.692559948502647,0.0007806882348112243,1059.3536179225089
25600.0,377.95,378.7,378.05,-,5095,18383,CALL,378.325,0.2372419582030771,0.9942172286971481,277.81361995877523,100.51138004122475,0.6522190328487733,0.0008207147298441026,1113.6675046126163
25650.0,331.0,331.65,332,7.18,2334,11651,CALL,331.325,0.22181007747813217,0.9961590592219473,246.6062547915608,84.7187452084392,0.6101596403041151,0.0008520240346014182,1156.152614276554
25700.0,285.55,286.1,286.25,7.5,15812,81013,CALL,285.82500000000005,0.20680780009570138,0.9981008897467464,217.5433106712935,68.28168932870653,0.5668535886399951,0.0008735509988943638,1185.3635931151614
25750.0,242.3,242.8,241.8,7.68,10008,70883,CALL,242.55,0.19261699400973423,1.0000427202715456,190.67033898757109,51.879661012428926,0.5228149291786456,0.0008845716875927116,1200.3180985425622
25800.0,200.95,201.2,201,7.89,54316,"3,88,369",CALL,201.075,0.1786076462269003,1.0019845507963447,166.0063385392732,35.06866146072679,0.4785814772252702,0.0008847437077737093,1200.5515210446188
25850.0,163.25,163.6,163.4,7.9,41349,"3,86,129",CALL,163.425,0.16614278757038964,1.0039263813211439,143.54321329298728,19.881786707012736,0.43469508009496916,0.0008741233312882287,1186.1402186169428
